Institution-School Name,Fall 2021,Fall 2020,Fall 2019,Fall 2018,Fall 2017,Fall 2016,Fall 2015,Fall 2014,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001,Fall 2000,Fall 1999
Yeshiva Toras Chaim Talmudical Seminary,,,,,,,,,,,,,,7,11,13,15,22,18,25,24,27,22
Albertus Magnus College,1328,1384,1419,1456,1464,1555,1515,1550,1582,1667,2010,1961,2023,2129,2034,2186,2230,2361,2200,2325,2269,2105,1964
Paul Mitchell The School-Danbury,,,,,,,,,,,,,,,,,,,,,72,45,52
Asnuntuck Community College,1220,1304,1600,1858,1870,1945,1571,1603,1715,1673,1687,1836,1808,1769,1792,1638,1483,1504,1476,1724,1723,1850,1719
Bais Binyomin Academy,40,35,38,34,25,,,,,,,,,,,,,54,68,61,61,52,65
Branford Hall Career Institute-Branford Campus,,,,,,,,,,,,,,,,,,,,,604,557,290
Lincoln College Of New England-Southington,,,,,465,536,619,715,837,1071,1130,950,779,702,663,649,647,637,588,566,511,518,627
Bridgeport Hospital School Of Nursing,,,,,,,,,,,,,,,,,,,,,144,119,142
University Of Bridgeport,3563,4155,5089,5485,5434,5658,5433,5191,4842,4877,4805,5155,5103,5323,4752,4018,3626,3274,3165,3173,3162,2973,2686
Butler Business School Inc,,,,,,,,,,,,,,,,,,,,,123,176,172
Central Connecticut State University,9653,10652,11154,11822,11880,11784,12086,12037,11865,12091,12521,12477,12461,12233,12106,12144,12315,12320,12131,12642,12368,12252,11903
Charter Oak State College,1618,1634,1611,1641,1500,1583,1735,1929,1580,1644,2241,2278,2079,1988,1577,1711,1902,1495,1578,1561,1496,1459,1429
Cortiva Institute,,,,,,,,,,,,,,,,,,,,,298,287,285
Connecticut College,1829,1737,1861,1844,1817,1865,1922,1900,1922,1933,1903,1887,1911,1852,1869,1886,1898,1905,1849,1912,1879,1856,1820
Marinello Schools Of Beauty-East Hartford,,,,,,,,,,,,,,,,,,,,,162,121,149
Porter And Chester Institute Of Hamden,,,,,,,,,,,,,,,,,,,,,179,171,93
University Of Connecticut,26876,27215,27280,27412,27578,27721,27043,26541,25911,25483,25868,25498,25029,24273,23692,23557,23185,22694,22053,21427,19876,19393,18721
Connecticut Association Of Realtors,,,,,,,,,,,,,,,,,,,,,,,
Danbury Hospital School,,,,,,,,,,,,,,,,,,,,,,,
Goodwin University,3258,3312,3297,3397,3410,3546,3549,3440,3388,3317,3116,2791,2083,1589,1440,1365,1219,940,667,676,494,418,499
Lincoln Technical Institute-East Windsor,,,,,,,,,,,,,,,,,,,,,421,242,377
Eastern Connecticut State University,4319,4644,4971,5208,5282,5362,5261,5287,5368,5440,5586,5606,5610,5427,5137,5239,5113,5156,5095,5215,5337,5145,4987
Fairfield University,5826,5513,5349,5273,5192,5137,5138,5123,4919,4999,4991,5181,5074,5128,5024,5091,5173,5060,5053,5114,5154,5188,5127
Worldtek Travel School,,,,,,,,,,,,,,,,,,,,,,,
Paul Mitchell The School-North Haven,,,,,,,,,,,,,,,,,,,,,115,67,105
Capital Community College,2474,2715,3083,3290,3282,3302,3503,4075,4168,4425,4512,4518,4280,3989,3726,3550,3573,3436,3381,3476,3129,3042,2766
Rensselaer At Hartford,105,115,89,67,41,79,130,191,281,341,381,430,750,741,730,743,706,806,1011,1441,1550,1807,2048
Hartford School Of Music,,,,,,,,,,,,,,,,,,,,,55,47,50
School Of Allied Health,,,,,,,,,,,,,,,,,,,,,,,
American Institute-West Hartford,,,,,,,,,,,,,,,,,,,,,208,259,174
Hartford Seminary,112,120,129,138,123,138,128,117,123,141,150,158,,,,,,,,,147,123,192
University Of Hartford,5917,6493,6773,6770,6561,6714,6912,6817,6882,6894,7025,7180,7212,7366,7290,7308,7260,7246,7245,6998,6844,6895,6882
Holy Apostles College And Seminary,695,648,603,546,525,464,442,378,385,372,381,343,317,276,284,260,254,266,241,203,250,199,189
Housatonic Community College,3604,3821,4836,5012,5138,5143,5369,5286,5813,6077,5975,6197,5609,5081,4475,4431,4471,4701,4678,4515,4247,3902,3829
Huntington Institute Incorporated,,,,,,,,,,,,,,,,,,,,,,95,62
Institute Of Childrens Literature,,,,,,,,,,,,,,,,,,,,,,,
Sanford-Brown College-Farmington,,,,,,,,,62,272,318,148,93,423,919,765,950,1207,1154,742,535,554,927
The Leon Institute Of Hair Design,,,,,,,,,,,,,,,,,,,,,73,39,36
Leon Institute Of Hair Design,,,,,,,,,,,,,,,,,,,,,,,18
Lyme Academy College Of Fine Arts,,,,,,,,,77,79,81,85,97,128,139,151,153,164,143,160,168,168,171
Manchester Community College,4494,4448,5511,6003,6321,6780,6891,7300,7571,7692,7499,7540,7366,6649,6484,6094,6135,5906,5717,5561,5405,5135,5192
Naugatuck Valley Community College,4673,5083,6055,6237,6373,6651,6976,7102,7294,7419,7361,7195,6725,6128,5966,5659,5667,5514,5155,5315,5223,5116,4864
Middlesex Community College,1988,2106,2424,2547,2682,2733,2902,3005,2900,2933,2876,2952,2914,2624,2623,2474,2286,2354,2400,2440,2320,2309,2317
Mitchell College,526,599,642,665,707,677,723,778,866,858,952,992,961,936,894,790,727,700,742,724,708,621,590
Three Rivers Community College,3019,3160,3304,3997,4187,4245,4259,4530,4749,4980,5154,5161,4561,4132,3858,3793,3660,3764,3622,3624,3472,3574,3573
Renasci Academy Of Hair Inc,,,,,,,,,,,,,,,,,,,,,,,
Lincoln Technical Institute-New Britain,,,,,,,,,,,,,,,,,,,,,203,573,442
New England Tractor Trailer Training School Of Connecticut,,,,,,,,,,,,,,,,,,,,,195,169,160
University Of New Haven,7513,6961,6793,6867,6984,6835,6786,6811,6555,6351,6385,5949,5770,5233,4774,4649,4466,4173,4386,4329,4229,4349,4463
Blaine The Beauty Career Schools,,,,,,,,,,,,,,,,,,,,,,,27
Ridley-Lowell Business & Technical Institute-New London,,,,,,,,,,,,,,,,,,,,,88,88,111
Northeast Helicopters Inc,,,,,,,,,,,,,,,,,,,,,,,
Norwalk Community College,4106,4420,5083,5413,5836,5800,6054,6363,6556,6810,6807,6740,6685,6266,6231,6040,6036,5790,6047,5717,5569,5377,5220
Northwestern Connecticut Community College,1128,1228,1308,1299,1295,1406,1521,1614,1549,1423,1701,1832,1711,1721,1632,1544,1569,1516,1543,1633,1609,1596,1698
Paier College,213,128,,83,79,103,128,129,155,192,196,223,227,221,249,248,277,306,291,292,284,282,276
Marinello Schools Of Beauty-Meriden,,,,,,,,,,,,,,,,,,,,,81,63,51
Porter And Chester Institute,,,,,,,,,,,,,,,,,,,,,109,333,191
Porter And Chester Institute,,,,,,,,,,,,,,,,,,,,,,104,97
Porter And Chester Institute,,,,,,,,,,,,,,,,,,,,,,148,160
Porter And Chester Institute,,,,,,,,,,,,,,,,,,,,,827,270,157
Post University,14055,13844,10642,9601,8540,7680,7429,8366,8082,7317,5634,3943,2590,1687,1271,1596,1101,1198,1325,1378,1350,1356,1422
Connecticut Institute Of Art,,,,,,,,,,,,,,,,,,,,,59,64,59
Quinebaug Valley Community College,1118,1161,1299,1335,1524,1559,1680,1883,1929,2086,2101,2288,2110,1947,1846,1779,1714,1721,1571,1501,1501,1347,1281
Quinnipiac University,9217,9746,9708,10207,10200,9900,9654,9035,8803,8614,8352,8166,7758,7413,7216,7341,7293,7220,7121,6951,6675,6477,6047
Sacred Heart University,9785,9313,9156,8958,8543,8532,8235,7781,6983,6434,6407,6249,6023,5958,5801,5756,5560,5657,5730,6028,5953,5684,5528
St. Basil College,,,,,,,,,,,,,,,,,,,,,20,28,58
University Of Saint Joseph,2132,2305,2398,2465,2405,2467,2553,2565,2640,2525,2592,2326,1935,1926,1773,1803,1858,1792,1836,1778,1939,1823,1740
Gateway Community College,5703,6003,6864,7016,7015,7217,7980,8200,8186,7976,7261,7328,6847,6471,5965,5824,5739,5595,5587,5328,4724,4157,4151
St Vincent'S College,,,,,485,763,675,751,827,824,727,585,536,427,424,475,414,407,365,340,317,265,210
Stamford Hospital School Of Radiography,,,,,,,,,,,,,,,,,,,,,,,
Southern Connecticut State University,8788,9331,9817,10050,10202,10320,10473,10825,10804,11117,11533,11964,11815,11769,11930,12326,12158,12177,12143,12219,12254,12127,11551
Stone Academy-West Haven,,,,,,,,,,,,,,,,,,,,,156,134,204
Baran Institute Of Technology,,,,,,,,,,,,,,,,,,,,,8,8,125
Torrington Beauty Academy,,,,,,,,,,,,,,,,,,,,,,,
Tri-State College Of Acupuncture,,,,,123,108,112,110,112,108,145,159,161,169,162,150,154,169,138,139,129,123,85
Trinity College,2190,2241,2234,2235,2282,2350,2397,2408,2390,2371,2393,2396,2438,2504,2526,2499,2470,2390,2289,2323,2256,2246,2371
Tunxis Community College,3320,3365,3781,3902,3857,3767,4055,4193,4547,4734,4740,4666,4496,4328,3836,3663,3894,3942,3983,4035,3720,3412,3455
United States Coast Guard Academy,1049,1056,1069,1071,1044,986,898,896,902,967,1045,1017,973,975,963,995,1005,994,983,952,897,877,838
Wesleyan University,3581,3053,3230,3217,3213,3206,3138,3224,3205,3262,3202,3215,3148,3149,3222,3220,3205,3217,3221,3192,3237,3158,3200
Westlawn Institute Of Marine Technology Inc,,,,,,,,,,,,,,,,,,,,,,,
Western Connecticut State University,4802,5246,5631,5642,5664,5721,5826,5952,6025,6176,6407,6582,6617,6462,6211,6086,5907,5884,6079,6050,5918,5806,5589
Yale-New Haven Hospital Dietetic Internship,,,,,,,,,,,,,,,,,,,,,12,12,12
Yale University,14567,12060,13609,13433,12974,12458,12385,12336,12109,11906,11875,11701,11593,10192,11454,11415,11483,11441,11471,11378,11136,11099,11029
Barbizon Of Delaware Inc,,,,,,,,,,,,,,,,,,,,,,,
Margaret H Rollins School Of Nursing At Beebe Medical Center,,,,,,,,,,,,,,,,,,,,,42,39,35
Dawn Career Institute Llc,,,,,,,,,,,,,,,,,,,,,80,72,74
Delaware Technical Community College-Central Office,,,,,,,,,,,,,,,,,,,,,,,
Delaware Technical Community College-Owens,,,,,,,,4296,4429,4611,4761,4720,4617,4346,4314,4021,3936,3782,3775,3565,3548,3439,3549
Delaware Technical Community College-Terry,12402,12955,13660,13895,14195,14479,13471,2939,3031,3106,3341,3253,3331,3269,3161,2744,2569,2545,2304,2231,2004,1958,2046
Delaware Technical Community College-Stanton/Wilmington,,,,,,,,6700,7030,7216,6984,7028,7294,7303,7519,7283,7473,7408,7243,6892,6666,6622,6935
Delaware State University,5200,4739,4768,4586,4352,4328,4288,4397,4336,4324,4154,3757,3609,3534,3756,3690,3722,3270,3178,3367,3343,3103,3159
University Of Delaware,23996,23613,23808,24120,23774,23009,22852,22680,22166,21856,21489,21177,21138,20500,20342,20380,20982,21238,21121,21289,20949,19072,21206
Dover Beauty Academy,,,,,,,,,,,,,,,,,,,,,,,
Goldey-Beacom College,1116,1184,1327,1493,1823,2063,1997,2012,1868,1352,1156,1162,1226,1340,1197,1236,1263,805,1185,1370,1323,1337,1378
Christian Care Health Systems Prehospital Ed Prog,,,,,,,,,,,,,,,,,,,,,,,
Schilling-Douglas School Of Hair Design Llc,,,,,,,,,,,,,,,,,,,,,91,76,77
Wesley College,,917,1151,1351,1561,1473,1650,1684,1655,1436,1931,2096,2426,2233,2320,2306,2282,2037,2167,2267,2018,1595,1706
